"","X","ifm_peak_frequency","ifm_stop","ifm_peak_freq_resolution","ifm_rms","ifm_region_id","ifm_peak_amplitude","ifm_start","ifm_terminal_frequency","ifm_duration","cf_peak_frequency","cf_stop","cf_peak_freq_resolution","cf_rms","cf_region_id","cf_peak_amplitude","cf_start","cf_terminal_frequency","cf_duration","tfm_peak_frequency","tfm_stop","tfm_peak_freq_resolution","tfm_rms","tfm_region_id","tfm_peak_amplitude","tfm_start","tfm_terminal_frequency","tfm_duration","audio_file","terminal_frequency_threshold","video_annot_id","num_bats","X0","duration","peak_freq_resolution","ifm.cf_dbratio","tfm.cf_dbratio","ifm.peak_db","tfm.peak_db","tfm_dbrms","ifm_dbrms","cf_dbrms","cf.peak_db","multi_bat","annot_id","rechour"
"8",7,NA,NA,NA,NA,"",NA,NA,NA,NA,105608.942929986,0.022008,98.0392156862745,0.0477671481606621,"cf1",0.103302001953125,0.001612,105559.91370857,20.396,105332.167832168,0.024296,871.080139372822,0.0179689665761314,"fm1",0.0487060546875,0.022008,87412.5874125874,2.288,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_18_hp",-10,"Aditya_2018-08-16_21502300_18",1,NA,NA,NA,-6.95473734765468,-6.28787227380311,-27.6574017459996,-27.0936274619718,-34.2896425345232,-34.9565076083748,-28.0017702607201,-22.9842762248285,"FALSE","2018-08-16_2123_18","2018-08-16_2123"
"9",8,106617.647058824,0.000916,2427.18446601942,0.00633001609415657,"fm1",0.01220703125,1e-04,99264.7058823529,0.816,108651.685393258,0.018716,112.309074573226,0.0146084530426645,"cf1",0.03192138671875,0.000916,108539.325842697,17.8,97593.5828877005,0.020212,1329.78723404255,0.0174393872264665,"fm2",0.04351806640625,0.018716,89572.192513369,1.496,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_20_hp",-10,"Aditya_2018-08-16_21502300_20",1,NA,NA,NA,NA,-8.4921242507648,NA,-26.2483409589001,-34.9095379827947,NA,-26.4174137320299,-19.7178252387711,"FALSE","2018-08-16_2123_20","2018-08-16_2123"
"10",9,105888.429752066,0.001936,1028.80658436214,0.0177987279690133,"fm1",0.05047607421875,0,103305.785123967,1.936,107653.434403883,0.062092,33.2446808510638,0.149296829137022,"cf1",0.314453125,0.001936,107620.187512468,60.156,105345.911949686,0.064,1046.02510460251,0.0150754613522182,"fm2",0.045166015625,0.062092,102725.36687631,1.908,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_22_hp",-10,"Aditya_2018-08-16_21502300_22",1,NA,NA,NA,-7.26398829357937,1.53853984035416,-38.2677988726351,-27.2266081888774,-35.1693755816925,-43.971903715626,-36.7079154220467,-29.9183650085692,"FALSE","2018-08-16_2123_22","2018-08-16_2123"
"11",10,103855.721393035,0.002344,1237.62376237624,0.0203106639479711,"fm1",0.042266845703125,0.000736,92039.8009950249,1.608,105401.069518717,0.021044,106.928999144568,0.0391273424721238,"cf1",0.07415771484375,0.002344,105133.689839572,18.7,105300.859598854,0.023836,714.285714285714,0.0246848713744332,"fm2",0.059783935546875,0.021044,90616.0458452722,2.792,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_24_hp",-10,"Aditya_2018-08-16_21502300_24",1,NA,NA,NA,-18.4732323705485,-19.9155994465295,-25.9382885948638,-26.9037643912952,-36.4345877666329,-34.9922206906518,-16.5189883201033,-10.0488816988796,"FALSE","2018-08-16_2123_24","2018-08-16_2123"
"12",11,102594.339622642,0.002044,1173.70892018779,0.00732542663786685,"fm1",0.01971435546875,0.000348,96108.4905660377,1.696,103294.573643411,0.022684,96.8616815187912,0.020356959253339,"cf1",0.037445068359375,0.002044,103439.92248062,20.64,103838.582677165,0.024716,980.392156862745,0.00734809677744008,"fm2",0.019989013671875,0.022684,95472.4409448819,2.032,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_25_hp",-10,"Aditya_2018-08-16_21502300_25",1,NA,NA,NA,-5.69512462148982,-4.00098966106889,-27.480003231185,-24.4683099792996,-32.1513826283741,-33.845517588795,-28.1503929673052,-22.5968732272281,"FALSE","2018-08-16_2123_25","2018-08-16_2123"
"13",12,NA,NA,NA,NA,"",NA,NA,NA,NA,104831.144465291,0.026284,78.1494216942795,0.0158242423051621,"cf1",0.032867431640625,7e-04,104713.883677298,25.584,103729.603729604,0.028,1162.79069767442,0.0084712674852652,"fm1",0.01947021484375,0.026284,92074.5920745921,1.716,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_28_hp",-10,"Aditya_2018-08-16_21502300_28",1,NA,NA,NA,-8.87759967962877,-8.85076079689967,-34.1043483392927,-33.9841726993587,-42.676502649852,-42.7033415325811,-33.8257418529523,-28.5321074446543,"FALSE","2018-08-16_2123_28","2018-08-16_2123"
"14",13,102112.676056338,0.002312,1404.49438202247,0.0146041916474604,"fm1",0.03216552734375,0.000892,91549.2957746479,1.42,102798.559157661,0.016748,138.504155124654,0.0307301903105371,"cf1",0.053802490234375,0.002312,102798.559157661,14.436,101391.650099404,0.01876,992.063492063492,0.0168146389472711,"fm2",0.033782958984375,0.016748,85984.0954274354,2.012,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_30_hp",-10,"Aditya_2018-08-16_21502300_30",1,NA,NA,NA,-8.86835649443388,-5.5327871003197,-30.1711245402364,-24.7247884471665,-32.5386944468168,-35.874263840931,-27.0059073464971,-21.6016685669411,"FALSE","2018-08-16_2123_30","2018-08-16_2123"
"15",14,108058.608058608,0.001256,1824.81751824818,0.0117642665089877,"fm1",0.024261474609375,0.000164,101648.351648352,1.092,108382.840830183,0.0531,38.5742940904181,0.0584345337199286,"cf1",0.12249755859375,0.001256,108344.263559911,51.844,106940.509915014,0.054512,1412.42937853107,0.0242728564256822,"fm2",0.045379638671875,0.0531,101274.787535411,1.412,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_32_hp",-10,"Aditya_2018-08-16_21502300_32",1,NA,NA,NA,NA,-5.42749058557796,NA,-34.2125851247711,-41.4410320987601,NA,-36.0135415131822,-29.6646846332347,"FALSE","2018-08-16_2123_32","2018-08-16_2123"
"16",15,106418.918918919,0.001772,1677.85234899329,0.0329273208771548,"fm1",0.060546875,0.000588,96283.7837837838,1.184,109216.795711733,0.028636,74.4269127716582,0.0498618545878584,"cf1",0.1026611328125,0.001772,108993.448481239,26.864,108024.691358025,0.029932,1533.74233128834,0.0220015744986205,"fm2",0.044097900390625,0.028636,98765.4320987654,1.296,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_33_hp",-10,"Aditya_2018-08-16_21502300_33",1,NA,NA,NA,-6.46175452733478,-5.23755406952918,-29.8521864816638,-29.4260462816199,-35.4862490729534,-36.710449530759,-30.2486950034242,-25.3839524532079,"FALSE","2018-08-16_2123_33","2018-08-16_2123"
"17",16,111607.142857143,0.000676,2941.17647058823,0.0152823652963188,"fm1",0.02801513671875,4e-06,107142.857142857,0.672,111103.233125355,0.01478,141.72335600907,0.0238084175180136,"cf1",0.044219970703125,0.000676,110961.429381736,14.104,108333.333333333,0.01646,1184.83412322275,0.0262213183590715,"fm2",0.057525634765625,0.01478,101785.714285714,1.68,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_39_hp",-10,"Aditya_2018-08-16_21502300_39",2,NA,NA,NA,-13.9220945684588,-7.63097391766181,-32.301656126065,-26.8627793287553,-32.2975822591741,-38.5887029099711,-24.6666083415123,-18.237451336165,"TRUE","2018-08-16_2123_39","2018-08-16_2123"
"18",17,97490.3474903475,0.001184,1923.07692307692,0.0127738889395291,"fm1",0.028778076171875,0.000148,93629.3436293436,1.036,106214.191273689,0.019336,110.132158590308,0.0166528778084248,"cf1",0.032470703125,0.001184,106214.191273689,18.152,97791.7981072555,0.020604,1572.32704402516,0.0205231577350122,"fm2",0.0496826171875,0.019336,92271.2933753943,1.268,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_40_hp",-10,"Aditya_2018-08-16_21502300_40",2,NA,NA,NA,-3.60424063902777,-7.10629332989368,-24.3581653428312,-27.111641757343,-33.1509247730151,-29.6488720821492,-26.0446314431214,-19.7718789566769,"TRUE","2018-08-16_2123_40","2018-08-16_2123"
"19",18,100498.338870432,0.001572,1655.62913907285,0.00935713907814473,"fm1",0.017669677734375,0.000368,91362.1262458472,1.204,107089.412644968,0.012264,186.98578908003,0.0131411622338917,"cf1",0.0279541015625,0.001572,106621.77328844,10.692,105082.417582418,0.01372,1366.12021857923,0.0158270370850347,"fm2",0.03662109375,0.012264,88598.9010989011,1.456,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_43_hp",-10,"Aditya_2018-08-16_21502300_43",2,NA,NA,NA,-3.16223368471965,-7.4288349893697,-27.9967884657084,-32.043320663986,-38.9571388146013,-34.6905375099513,-31.5283038252316,-25.0789832352288,"TRUE","2018-08-16_2123_43","2018-08-16_2123"
"20",19,107432.432432432,0.001728,1344.08602150538,0.0950900766810657,"fm1",0.217681884765625,0.000248,97972.972972973,1.48,109896.678336607,0.048572,42.6912568306011,0.13748851155486,"cf1",0.316802978515625,0.001728,109811.288532149,46.844,109116.022099448,0.049296,2747.25274725275,0.0156737334548807,"fm2",0.03009033203125,0.048572,103591.160220994,0.724,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_46_hp",-10,"Aditya_2018-08-16_21502300_46",2,NA,NA,NA,-3.85079907002517,0.838479869045801,-31.0521450751695,-24.8027716083581,-31.6269095315792,-36.3161884706501,-32.465389400625,-27.0876309897709,"TRUE","2018-08-16_2123_46","2018-08-16_2123"
"21",20,107615.894039735,0.001412,3289.47368421053,0.0123462781216721,"fm1",0.026611328125,0.000808,102649.006622517,0.604,106974.657995066,0.019248,112.107623318386,0.0374947127394968,"cf1",0.07928466796875,0.001412,106862.525229872,17.836,105714.285714286,0.020648,1420.45454545455,0.0215943079025205,"fm2",0.0447998046875,0.019248,93571.4285714286,1.4,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_47_hp",-10,"Aditya_2018-08-16_21502300_47",2,NA,NA,NA,-2.30332318925106,1.81509775237492,-30.8187648444478,-26.0759106881307,-33.7551163396415,-37.8735372812675,-35.5702140920165,-29.7701661400138,"TRUE","2018-08-16_2123_47","2018-08-16_2123"
"22",21,105095.541401274,0.001236,3164.55696202532,0.00872363434943161,"fm1",0.017303466796875,0.000608,101910.828025478,0.628,107573.798750269,0.0198,107.71219302025,0.0333047130884003,"cf1",0.0653076171875,0.001236,107519.931049343,18.564,105590.062111801,0.021088,1543.20987654321,0.0262001100217346,"fm2",0.06005859375,0.0198,100155.279503106,1.288,"segment_matching_annotaudio_Aditya_2018-08-16_21502300_62_hp",-10,"Aditya_2018-08-16_21502300_62",1,NA,NA,NA,-7.14703070457939,-15.7916890379125,-18.8306898907633,-27.417514547002,-33.6376370411645,-24.9929787078313,-17.8459480032519,-10.2406497951505,"FALSE","2018-08-16_2123_62","2018-08-16_2123"
